368,Stas Petrosyan,RW,Altay Ust-Kamenogorsk MHL
369,Oleg Boiko,F,Snezhnye Barsy Astana MHL
370,Jesper Vikman,G,AIK J20
371,Hugo Ollas,G,Linkoping J20
372,Isak Posch,G,Leksands J20
373,Juho Markkanen,G,SaiPa U20
374,Joel Maatta,C,Sioux City USHL
375,Calle Spaberg Olsen,LW,Rogle J20
376,Simon Andersson,C,MODO J20
377,Alex Brannstam,D,DjurgaDens J20
378,David Mudrak,D,TPS U20
379,Simon Gnyp,D,Kolner Haie DEL
380,Spencer Kersten,RW,Princeton NCAA
381,Matt Verboon,RW,Colgate NCAA
382,Tarun Fizer,RW,Victoria WHL
383,Logan Barlage,C,Lethbridge WHL
384,Tristen Nielsen,C,Vancouver WHL
385,Josh Williams,RW,Edmonton WHL
386,Ben McCartney,LW,Brandon WHL
387,Eli Zummack,RW,Spokane WHL
388,Keanu Derungs,LW,Victoria WHL
389,Payton Mount,RW,Seattle WHL
390,Rhett Rhinehart,D,Saskatoon WHL
391,Tyrel Bauer,D,Seattle WHL
392,Owen Gallatin,D,NTDP U18
393,Christian Jimenez,D,Sioux City USHL
394,Owen Parker,G,Nichols U.S. High School
395,Lassi Lehti,G,St. Andrew's College High School
396,Hudson Hodges,G,Moorhead U.S. High School
397,Matt Gleason,C,Cretin-Derham Hall U.S. High School
398,Blake Perbix,RW,St. Cloud Cathedral U.S. High School
399,Will Svenddal,D,Blake U.S. High School
400,Reid Bogenholm,D,St. Cloud Cathedral U.S. High School
